Tax Year,Place of Residence,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2006,Wayne,39716,1321,52436,2079,10845,60
2006,Westchester,134797,6974,179304,9657,12351,61
2006,Wyoming,37130,1158,48823,1878,10884,62
2006,Yates,35241,1030,50009,1949,11515,63
2006,"Total, Counties Outside of New York City",64358,2814,86450,4132,10872,64
2006,NYS Unclassified +,55878,2643,84747,4315,7360,65
2006,Residence Unknown ++,169431,8801,237176,12697,10568,66
2006,"Grand Total, Full-Year Resident",66806,2976,93460,4622,11304,67
2013,Franklin,37419,1222,55616,2319,8547,22
2013,Chautauqua,37647,1181,55485,2243,10062,12
2005,New York City - Bronx,29909,687,45275,1730,11415,1
2005,New York City - Kings,39091,1367,57635,2555,10539,2
2005,New York City - Manhattan,145387,8826,200424,12586,9616,3
2005,New York City - Queens,37870,1344,53664,2281,9616,4
2005,New York City - Richmond,53172,2209,70053,3161,8906,5
2005,"Total, New York City",63473,3082,93562,5068,10314,6
2005,Albany,49298,2172,64756,3122,8715,7
2005,Allegany,32450,994,45766,1732,9178,8
2005,Broome,38167,1379,52911,2297,8297,9
2005,Cattaraugus,33325,1060,46462,1808,9089,10
2005,Cayuga,36197,1227,48207,1960,9751,11
2005,Chautauqua,33146,1049,46448,1807,9195,12
2005,Chemung,38665,1436,53957,2339,8994,13
2005,Chenango,33572,1087,46329,1836,9182,14
2005,Clinton,38193,1330,50733,2034,8898,15
2005,Columbia,50400,2163,67724,3172,9177,16
2005,Cortland,36147,1208,48007,1948,9911,17
2005,Delaware,34121,1183,49103,2016,8088,18
2005,Dutchess,57777,2608,73936,3530,8288,19
2005,Erie,43385,1778,58930,2700,8341,20
2005,Essex,37391,1322,51312,2131,8606,21
2005,Franklin,32270,1005,45076,1749,8716,22
2005,Fulton,34831,1184,47275,1914,8955,23
2005,Genesee,35534,1237,47430,1901,8186,24
2005,Greene,39894,1585,54711,2404,7639,25
2005,Hamilton,33997,1137,47698,1796,7243,26
2005,Herkimer,33991,1111,46082,1818,9259,27
2005,Jefferson,35863,1247,49172,2049,9488,28
2005,Lewis,33187,1004,45241,1731,9748,29
2005,Livingston,38603,1424,51382,2150,8071,30
2005,Madison,40942,1509,53924,2312,9649,31
2005,Monroe,47708,2038,63995,3028,8970,32
2005,Montgomery,33512,1078,45974,1830,9173,33
2005,Nassau,87455,4617,114868,6317,9572,34
2005,Niagara,37508,1399,50894,2150,7940,35
2005,Oneida,37460,1383,51894,2245,8672,36
2005,Onondaga,45918,1851,60922,2803,10030,37
2005,Ontario,46100,1893,61240,2770,8441,38
2005,Orange,54203,2142,70297,3037,9736,39
2005,Orleans,33717,1106,45987,1807,8874,40
2005,Oswego,36026,1256,48991,1991,8575,41
2005,Otsego,39385,1462,54615,2322,8411,42
2005,Putnam,71410,3279,88401,4203,8641,43
2005,Rensselaer,42589,1684,55685,2439,8337,44
2005,Rockland,69170,2976,90894,4181,10522,45
2005,St. Lawrence,34167,1141,48072,1940,8656,46
2005,Saratoga,53810,2457,68145,3291,8006,47
2005,Schenectady,43739,1788,58458,2666,8791,48
2005,Schoharie,36793,1308,49569,2027,8627,49
2005,Schuyler,32974,1050,45477,1757,8425,50
2005,Seneca,34235,1120,47377,1893,9302,51
2005,Steuben,39598,1520,55963,2492,8759,52
2005,Suffolk,66673,3194,86233,4357,9116,53
2005,Sullivan,43126,1639,59730,2632,9528,54
2005,Tioga,38671,1334,51871,2083,10762,55
2005,Tompkins,48057,2071,62124,2894,8407,56
2005,Ulster,45122,1861,60344,2731,8186,57
2005,Warren,44279,1851,59977,2750,8178,58
2005,Washington,35167,1149,47533,1837,9002,59
2005,Wayne,38600,1393,50886,2103,8924,60
2005,Westchester,123586,6937,163785,9491,10149,61
2005,Wyoming,35416,1174,46721,1844,9368,62
2005,Yates,33402,1052,47143,1876,10136,63
2005,"Total, Counties Outside of New York City",60226,2803,80618,4036,9091,64
2005,NYS Unclassified +,71789,3790,98762,5419,7377,65
2005,Residence Unknown ++,163875,10039,232490,14624,10850,66
2005,"Grand Total, Full-Year Resident",61650,2924,85665,4437,9656,67
2013,Chemung,44150,1598,63435,2747,9879,13
2004,New York City - Bronx,29402,659,44798,1687,11269,1
2004,New York City - Kings,37156,1253,55173,2396,10322,2
2004,New York City - Manhattan,127130,7633,177971,11125,10344,3
2004,New York City - Queens,36718,1283,52123,2182,9407,4
2004,New York City - Richmond,51549,2148,67747,3048,8374,5
2004,"Total, New York City",58271,2753,86261,4594,10171,6
2004,Albany,48813,2190,64676,3147,7943,7
2004,Allegany,31829,972,45004,1688,8803,8
2004,Broome,36907,1309,51587,2219,7995,9
2004,Cattaraugus,32517,1026,45634,1771,9114,10
2004,Cayuga,35484,1200,47690,1916,9365,11
2004,Chautauqua,32099,996,45256,1732,8989,12
2004,Chemung,37077,1346,52522,2231,8349,13
2004,Chenango,32992,1053,45965,1797,9124,14
2004,Clinton,36811,1312,48945,1996,8806,15
2004,Columbia,46104,1905,62542,2855,9163,16
2004,Cortland,36116,1225,48302,1975,9533,17
2004,Delaware,33338,1155,48573,1993,7837,18
2004,Dutchess,55211,2460,70723,3339,8056,19
2004,Erie,43302,1785,59322,2723,7883,20
2004,Essex,36157,1311,50331,2083,7955,21
2013,Chenango,36678,1194,53433,2133,6819,14
2004,Franklin,31733,980,44723,1723,8631,22
2004,Fulton,33875,1140,46101,1839,8531,23
2004,Genesee,34728,1200,46822,1861,7920,24
2004,Greene,37121,1416,51422,2195,7595,25
2004,Hamilton,32266,1084,44578,1744,9601,26
2004,Herkimer,31783,983,43565,1640,8531,27
2004,Jefferson,33665,1106,46655,1869,9235,28
2004,Lewis,31277,885,43284,1584,9526,29
2004,Livingston,37681,1374,50359,2075,7863,30
2004,Madison,39654,1467,52798,2254,9399,31
2004,Monroe,45868,1942,61919,2897,8337,32
2004,Montgomery,32763,1051,45463,1806,8936,33
2004,Nassau,80469,4193,106464,5783,8649,34
2004,Niagara,36320,1328,49737,2062,7665,35
2004,Oneida,35441,1270,49430,2080,8448,36
2004,Onondaga,44672,1797,59872,2741,9382,37
2004,Ontario,43873,1793,58291,2621,8192,38
2004,Orange,53076,2064,69095,2930,9140,39
2004,Orleans,32972,1055,45115,1729,8471,40
2004,Oswego,35591,1250,48986,1991,8085,41
2004,Otsego,37214,1403,51971,2257,8237,42
2004,Putnam,68536,3164,85053,4060,7966,43
2004,Rensselaer,41602,1637,54520,2373,8113,44
2004,Rockland,66198,2857,87215,4012,9619,45
2004,St. Lawrence,33317,1099,47319,1884,8315,46
2004,Saratoga,51023,2291,64727,3074,7494,47
2004,Schenectady,43150,1786,58377,2682,8196,48
2004,Schoharie,36039,1258,49335,1987,8118,49
2004,Schuyler,33066,1092,46099,1820,8163,50
2004,Seneca,33543,1080,46234,1821,9537,51
