Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Male
2007,0,Total,1,Male,0,Total,52,Schuyler,9522
2007,0,Total,1,Male,0,Total,53,Seneca,17767
2007,0,Total,1,Male,0,Total,54,Steuben,47494
2007,0,Total,1,Male,0,Total,55,Suffolk,716826
2007,0,Total,1,Male,0,Total,56,Sullivan,38691
2007,0,Total,1,Male,0,Total,57,Tioga,24963
2007,0,Total,1,Male,0,Total,58,Tompkins,50612
2007,0,Total,1,Male,0,Total,59,Ulster,90744
2007,0,Total,1,Male,0,Total,60,Warren,32310
2007,0,Total,1,Male,0,Total,61,Washington,32291
2007,0,Total,1,Male,0,Total,62,Wayne,45085
2007,0,Total,1,Male,0,Total,63,Westchester,458983
2007,0,Total,1,Male,0,Total,64,Wyoming,22851
2007,0,Total,1,Male,0,Total,65,Yates,11972
2008,0,Total,1,Male,0,Total,1,New York State,9462063
2008,0,Total,1,Male,0,Total,2,New York City,3995209
2008,0,Total,1,Male,0,Total,3,Bronx,652033
2008,0,Total,1,Male,0,Total,4,Kings,1208456
2008,0,Total,1,Male,0,Total,5,New York,782290
2008,0,Total,1,Male,0,Total,6,Queens,1115013
2008,0,Total,1,Male,0,Total,7,Richmond,237417
2008,0,Total,1,Male,0,Total,8,Rest of State,5466854
2008,0,Total,1,Male,0,Total,9,Albany,143577
2008,0,Total,1,Male,0,Total,10,Allegany,24954
2008,0,Total,1,Male,0,Total,11,Broome,94510
2008,0,Total,1,Male,0,Total,12,Cattaraugus,39137
2008,0,Total,1,Male,0,Total,13,Cayuga,40391
2008,0,Total,1,Male,0,Total,14,Chautauqua,65783
2008,0,Total,1,Male,0,Total,15,Chemung,43653
2008,0,Total,1,Male,0,Total,16,Chenango,25121
2008,0,Total,1,Male,0,Total,17,Clinton,41834
2008,0,Total,1,Male,0,Total,18,Columbia,30951
2008,0,Total,1,Male,0,Total,19,Cortland,23267
2008,0,Total,1,Male,0,Total,20,Delaware,22669
2008,0,Total,1,Male,0,Total,21,Dutchess,146841
2008,0,Total,1,Male,0,Total,22,Erie,438365
2008,0,Total,1,Male,0,Total,23,Essex,19627
2008,0,Total,1,Male,0,Total,24,Franklin,27748
2008,0,Total,1,Male,0,Total,25,Fulton,27130
2008,0,Total,1,Male,0,Total,26,Genesee,28730
2008,0,Total,1,Male,0,Total,27,Greene,25330
2008,0,Total,1,Male,0,Total,28,Hamilton,2492
2008,0,Total,1,Male,0,Total,29,Herkimer,30328
2008,0,Total,1,Male,0,Total,30,Jefferson,60447
2008,0,Total,1,Male,0,Total,31,Lewis,13073
2008,0,Total,1,Male,0,Total,32,Livingston,31593
2008,0,Total,1,Male,0,Total,33,Madison,34284
2008,0,Total,1,Male,0,Total,34,Monroe,355721
2008,0,Total,1,Male,0,Total,35,Montgomery,23471
2008,0,Total,1,Male,0,Total,36,Nassau,657518
2008,0,Total,1,Male,0,Total,37,Niagara,103842
2008,0,Total,1,Male,0,Total,38,Oneida,115725
2008,0,Total,1,Male,0,Total,39,Onondaga,217994
2008,0,Total,1,Male,0,Total,40,Ontario,51330
2008,0,Total,1,Male,0,Total,41,Orange,190931
2008,0,Total,1,Male,0,Total,42,Orleans,20921
2008,0,Total,1,Male,0,Total,43,Oswego,60081
2008,0,Total,1,Male,0,Total,44,Otsego,29785
2008,0,Total,1,Male,0,Total,45,Putnam,49934
2008,0,Total,1,Male,0,Total,46,Rensselaer,76643
2008,0,Total,1,Male,0,Total,47,Rockland,147182
2008,0,Total,1,Male,0,Total,48,St Lawrence,55554
2008,0,Total,1,Male,0,Total,49,Saratoga,107567
2008,0,Total,1,Male,0,Total,50,Schenectady,73530
2008,0,Total,1,Male,0,Total,51,Schoharie,15849
2008,0,Total,1,Male,0,Total,52,Schuyler,9464
2008,0,Total,1,Male,0,Total,53,Seneca,17731
2008,0,Total,1,Male,0,Total,54,Steuben,47361
2008,0,Total,1,Male,0,Total,55,Suffolk,746853
2008,0,Total,1,Male,0,Total,56,Sullivan,38620
2008,0,Total,1,Male,0,Total,57,Tioga,24805
2008,0,Total,1,Male,0,Total,58,Tompkins,50632
2008,0,Total,1,Male,0,Total,59,Ulster,90633
2008,0,Total,1,Male,0,Total,60,Warren,32243
2008,0,Total,1,Male,0,Total,61,Washington,32358
2008,0,Total,1,Male,0,Total,62,Wayne,45240
2008,0,Total,1,Male,0,Total,63,Westchester,460779
2008,0,Total,1,Male,0,Total,64,Wyoming,22699
2008,0,Total,1,Male,0,Total,65,Yates,12023
2009,0,Total,1,Male,0,Total,1,New York State,9499163
2009,0,Total,1,Male,0,Total,2,New York City,4011243
2009,0,Total,1,Male,0,Total,3,Bronx,656983
2009,0,Total,1,Male,0,Total,4,Kings,1215532
2009,0,Total,1,Male,0,Total,5,New York,775857
2009,0,Total,1,Male,0,Total,6,Queens,1122781
2009,0,Total,1,Male,0,Total,7,Richmond,240090
2009,0,Total,1,Male,0,Total,8,Rest of State,5487920
2009,0,Total,1,Male,0,Total,9,Albany,143696
2009,0,Total,1,Male,0,Total,10,Allegany,24825
2009,0,Total,1,Male,0,Total,11,Broome,94373
2009,0,Total,1,Male,0,Total,12,Cattaraugus,39211
2009,0,Total,1,Male,0,Total,13,Cayuga,40395
2009,0,Total,1,Male,0,Total,14,Chautauqua,65457
2009,0,Total,1,Male,0,Total,15,Chemung,43960
2009,0,Total,1,Male,0,Total,16,Chenango,25120
2009,0,Total,1,Male,0,Total,17,Clinton,41730
2009,0,Total,1,Male,0,Total,18,Columbia,30858
2009,0,Total,1,Male,0,Total,19,Cortland,23213
2009,0,Total,1,Male,0,Total,20,Delaware,22548
2009,0,Total,1,Male,0,Total,21,Dutchess,147665
2009,0,Total,1,Male,0,Total,22,Erie,438252
2009,0,Total,1,Male,0,Total,23,Essex,19610
2009,0,Total,1,Male,0,Total,24,Franklin,27605
2009,0,Total,1,Male,0,Total,25,Fulton,27266
2009,0,Total,1,Male,0,Total,26,Genesee,28700
2009,0,Total,1,Male,0,Total,27,Greene,25367
2009,0,Total,1,Male,0,Total,28,Hamilton,2442
2009,0,Total,1,Male,0,Total,29,Herkimer,30442
2009,0,Total,1,Male,0,Total,30,Jefferson,60573
2009,0,Total,1,Male,0,Total,31,Lewis,13084
2009,0,Total,1,Male,0,Total,32,Livingston,31485
2009,0,Total,1,Male,0,Total,33,Madison,34568
2009,0,Total,1,Male,0,Total,34,Monroe,356253
2009,0,Total,1,Male,0,Total,35,Montgomery,23571
2009,0,Total,1,Male,0,Total,36,Nassau,661828
2009,0,Total,1,Male,0,Total,37,Niagara,104188
2009,0,Total,1,Male,0,Total,38,Oneida,115524
2009,0,Total,1,Male,0,Total,39,Onondaga,219263
2009,0,Total,1,Male,0,Total,40,Ontario,52030
2009,0,Total,1,Male,0,Total,41,Orange,193693
2009,0,Total,1,Male,0,Total,42,Orleans,20978
2009,0,Total,1,Male,0,Total,43,Oswego,60149
2009,0,Total,1,Male,0,Total,44,Otsego,29675
2009,0,Total,1,Male,0,Total,45,Putnam,50143
2009,0,Total,1,Male,0,Total,46,Rensselaer,76828
2009,0,Total,1,Male,0,Total,47,Rockland,148619
2009,0,Total,1,Male,0,Total,48,St Lawrence,55780
2009,0,Total,1,Male,0,Total,49,Saratoga,108898
2009,0,Total,1,Male,0,Total,50,Schenectady,74231
2009,0,Total,1,Male,0,Total,51,Schoharie,15734
2009,0,Total,1,Male,0,Total,52,Schuyler,9445
2009,0,Total,1,Male,0,Total,53,Seneca,17652
2009,0,Total,1,Male,0,Total,54,Steuben,47590
2009,0,Total,1,Male,0,Total,55,Suffolk,750236
2009,0,Total,1,Male,0,Total,56,Sullivan,38596
2009,0,Total,1,Male,0,Total,57,Tioga,24850
2009,0,Total,1,Male,0,Total,58,Tompkins,50820
2009,0,Total,1,Male,0,Total,59,Ulster,90489
2009,0,Total,1,Male,0,Total,60,Warren,32307
2009,0,Total,1,Male,0,Total,61,Washington,32423
2009,0,Total,1,Male,0,Total,62,Wayne,45343
2009,0,Total,1,Male,0,Total,63,Westchester,463834
2009,0,Total,1,Male,0,Total,64,Wyoming,22551
2009,0,Total,1,Male,0,Total,65,Yates,11954
2010,0,Total,1,Male,0,Total,1,New York State,9377147
2010,0,Total,1,Male,0,Total,2,New York City,3882544
2010,0,Total,1,Male,0,Total,3,Bronx,649633
2010,0,Total,1,Male,0,Total,4,Kings,1181378
2010,0,Total,1,Male,0,Total,5,New York,744441
2010,0,Total,1,Male,0,Total,6,Queens,1079803
2010,0,Total,1,Male,0,Total,7,Richmond,227289
2010,0,Total,1,Male,0,Total,8,Rest of State,5494603
2010,0,Total,1,Male,0,Total,9,Albany,147076
2010,0,Total,1,Male,0,Total,10,Allegany,24696
2010,0,Total,1,Male,0,Total,11,Broome,98373
2010,0,Total,1,Male,0,Total,12,Cattaraugus,39729
2010,0,Total,1,Male,0,Total,13,Cayuga,40833
2010,0,Total,1,Male,0,Total,14,Chautauqua,66509
2010,0,Total,1,Male,0,Total,15,Chemung,44171
2010,0,Total,1,Male,0,Total,16,Chenango,25136
2010,0,Total,1,Male,0,Total,17,Clinton,42097
2010,0,Total,1,Male,0,Total,18,Columbia,31761
2010,0,Total,1,Male,0,Total,19,Cortland,24093
2010,0,Total,1,Male,0,Total,20,Delaware,24096
2010,0,Total,1,Male,0,Total,21,Dutchess,148112
2010,0,Total,1,Male,0,Total,22,Erie,442971
2010,0,Total,1,Male,0,Total,23,Essex,20391
2010,0,Total,1,Male,0,Total,24,Franklin,28336
2010,0,Total,1,Male,0,Total,25,Fulton,27465
2010,0,Total,1,Male,0,Total,26,Genesee,29756
2010,0,Total,1,Male,0,Total,27,Greene,25680
2010,0,Total,1,Male,0,Total,28,Hamilton,2446
2010,0,Total,1,Male,0,Total,29,Herkimer,31579
2010,0,Total,1,Male,0,Total,30,Jefferson,59185
2010,0,Total,1,Male,0,Total,31,Lewis,13620
2010,0,Total,1,Male,0,Total,32,Livingston,32816
2010,0,Total,1,Male,0,Total,33,Madison,36064
2010,0,Total,1,Male,0,Total,34,Monroe,359108
