Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Hispanic
2006,0,Total,0,Total,5,Hispanic,16,Chenango,761
2006,0,Total,0,Total,5,Hispanic,17,Clinton,2183
2006,0,Total,0,Total,5,Hispanic,18,Columbia,1910
2006,0,Total,0,Total,5,Hispanic,19,Cortland,751
2006,0,Total,0,Total,5,Hispanic,20,Delaware,1302
2006,0,Total,0,Total,5,Hispanic,21,Dutchess,24879
2006,0,Total,0,Total,5,Hispanic,22,Erie,33271
2006,0,Total,0,Total,5,Hispanic,23,Essex,922
2006,0,Total,0,Total,5,Hispanic,24,Franklin,2099
2006,0,Total,0,Total,5,Hispanic,25,Fulton,1107
2006,0,Total,0,Total,5,Hispanic,26,Genesee,1176
2006,0,Total,0,Total,5,Hispanic,27,Greene,2462
2006,0,Total,0,Total,5,Hispanic,28,Hamilton,64
2006,0,Total,0,Total,5,Hispanic,29,Herkimer,869
2006,0,Total,0,Total,5,Hispanic,30,Jefferson,4833
2006,0,Total,0,Total,5,Hispanic,31,Lewis,218
2006,0,Total,0,Total,5,Hispanic,32,Livingston,1600
2006,0,Total,0,Total,5,Hispanic,33,Madison,900
2006,0,Total,0,Total,5,Hispanic,34,Monroe,41581
2006,0,Total,0,Total,5,Hispanic,35,Montgomery,4203
2006,0,Total,0,Total,5,Hispanic,36,Nassau,160017
2006,0,Total,0,Total,5,Hispanic,37,Niagara,3371
2006,0,Total,0,Total,5,Hispanic,38,Oneida,8876
2006,0,Total,0,Total,5,Hispanic,39,Onondaga,12902
2006,0,Total,0,Total,5,Hispanic,40,Ontario,2820
2006,0,Total,0,Total,5,Hispanic,41,Orange,57980
2006,0,Total,0,Total,5,Hispanic,42,Orleans,1683
2006,0,Total,0,Total,5,Hispanic,43,Oswego,1869
2006,0,Total,0,Total,5,Hispanic,44,Otsego,1357
2006,0,Total,0,Total,5,Hispanic,45,Putnam,9691
2006,0,Total,0,Total,5,Hispanic,46,Rensselaer,4029
2006,0,Total,0,Total,5,Hispanic,47,Rockland,37424
2006,0,Total,0,Total,5,Hispanic,48,St Lawrence,2079
2006,0,Total,0,Total,5,Hispanic,49,Saratoga,4133
2006,0,Total,0,Total,5,Hispanic,50,Schenectady,6037
2006,0,Total,0,Total,5,Hispanic,51,Schoharie,626
2006,0,Total,0,Total,5,Hispanic,52,Schuyler,261
2006,0,Total,0,Total,5,Hispanic,53,Seneca,987
2006,0,Total,0,Total,5,Hispanic,54,Steuben,1042
2006,0,Total,0,Total,5,Hispanic,55,Suffolk,191552
2006,0,Total,0,Total,5,Hispanic,56,Sullivan,8568
2006,0,Total,0,Total,5,Hispanic,57,Tioga,683
2006,0,Total,0,Total,5,Hispanic,58,Tompkins,3869
2006,0,Total,0,Total,5,Hispanic,59,Ulster,12812
2006,0,Total,0,Total,5,Hispanic,60,Warren,1026
2006,0,Total,0,Total,5,Hispanic,61,Washington,1522
2006,0,Total,0,Total,5,Hispanic,62,Wayne,2785
2006,0,Total,0,Total,5,Hispanic,63,Westchester,175990
2006,0,Total,0,Total,5,Hispanic,64,Wyoming,1342
2006,0,Total,0,Total,5,Hispanic,65,Yates,336
2007,0,Total,0,Total,5,Hispanic,1,New York State,3162382
2007,0,Total,0,Total,5,Hispanic,2,New York City,2269971
2007,0,Total,0,Total,5,Hispanic,3,Bronx,702073
2007,0,Total,0,Total,5,Hispanic,4,Kings,493961
2007,0,Total,0,Total,5,Hispanic,5,New York,400498
2007,0,Total,0,Total,5,Hispanic,6,Queens,600467
2007,0,Total,0,Total,5,Hispanic,7,Richmond,72972
2007,0,Total,0,Total,5,Hispanic,8,Rest of State,892411
2007,0,Total,0,Total,5,Hispanic,9,Albany,11509
2007,0,Total,0,Total,5,Hispanic,10,Allegany,579
2007,0,Total,0,Total,5,Hispanic,11,Broome,4943
2007,0,Total,0,Total,5,Hispanic,12,Cattaraugus,915
2007,0,Total,0,Total,5,Hispanic,13,Cayuga,1745
2007,0,Total,0,Total,5,Hispanic,14,Chautauqua,6438
2007,0,Total,0,Total,5,Hispanic,15,Chemung,1857
2007,0,Total,0,Total,5,Hispanic,16,Chenango,754
2007,0,Total,0,Total,5,Hispanic,17,Clinton,2177
2007,0,Total,0,Total,5,Hispanic,18,Columbia,1971
2007,0,Total,0,Total,5,Hispanic,19,Cortland,792
2007,0,Total,0,Total,5,Hispanic,20,Delaware,1295
2007,0,Total,0,Total,5,Hispanic,21,Dutchess,25976
2007,0,Total,0,Total,5,Hispanic,22,Erie,34014
2007,0,Total,0,Total,5,Hispanic,23,Essex,899
2007,0,Total,0,Total,5,Hispanic,24,Franklin,2081
2007,0,Total,0,Total,5,Hispanic,25,Fulton,1253
2007,0,Total,0,Total,5,Hispanic,26,Genesee,1195
2007,0,Total,0,Total,5,Hispanic,27,Greene,2469
2007,0,Total,0,Total,5,Hispanic,28,Hamilton,67
2007,0,Total,0,Total,5,Hispanic,29,Herkimer,885
2007,0,Total,0,Total,5,Hispanic,30,Jefferson,5056
2007,0,Total,0,Total,5,Hispanic,31,Lewis,247
2007,0,Total,0,Total,5,Hispanic,32,Livingston,1581
2007,0,Total,0,Total,5,Hispanic,33,Madison,981
2007,0,Total,0,Total,5,Hispanic,34,Monroe,42181
2007,0,Total,0,Total,5,Hispanic,35,Montgomery,4347
2007,0,Total,0,Total,5,Hispanic,36,Nassau,162564
2007,0,Total,0,Total,5,Hispanic,37,Niagara,3588
2007,0,Total,0,Total,5,Hispanic,38,Oneida,8921
2007,0,Total,0,Total,5,Hispanic,39,Onondaga,13125
2007,0,Total,0,Total,5,Hispanic,40,Ontario,2965
2007,0,Total,0,Total,5,Hispanic,41,Orange,59791
2007,0,Total,0,Total,5,Hispanic,42,Orleans,1847
2007,0,Total,0,Total,5,Hispanic,43,Oswego,1948
2007,0,Total,0,Total,5,Hispanic,44,Otsego,1415
2007,0,Total,0,Total,5,Hispanic,45,Putnam,10243
2007,0,Total,0,Total,5,Hispanic,46,Rensselaer,4336
2007,0,Total,0,Total,5,Hispanic,47,Rockland,39001
2007,0,Total,0,Total,5,Hispanic,48,St Lawrence,2074
2007,0,Total,0,Total,5,Hispanic,49,Saratoga,4366
2007,0,Total,0,Total,5,Hispanic,50,Schenectady,6564
2007,0,Total,0,Total,5,Hispanic,51,Schoharie,708
2007,0,Total,0,Total,5,Hispanic,52,Schuyler,281
2007,0,Total,0,Total,5,Hispanic,53,Seneca,1008
2007,0,Total,0,Total,5,Hispanic,54,Steuben,1052
2007,0,Total,0,Total,5,Hispanic,55,Suffolk,193605
2007,0,Total,0,Total,5,Hispanic,56,Sullivan,8837
2007,0,Total,0,Total,5,Hispanic,57,Tioga,691
2007,0,Total,0,Total,5,Hispanic,58,Tompkins,3982
2007,0,Total,0,Total,5,Hispanic,59,Ulster,13396
2007,0,Total,0,Total,5,Hispanic,60,Warren,1069
2007,0,Total,0,Total,5,Hispanic,61,Washington,1440
2007,0,Total,0,Total,5,Hispanic,62,Wayne,2824
2007,0,Total,0,Total,5,Hispanic,63,Westchester,180819
2007,0,Total,0,Total,5,Hispanic,64,Wyoming,1353
2007,0,Total,0,Total,5,Hispanic,65,Yates,391
2008,0,Total,0,Total,5,Hispanic,1,New York State,3250038
2008,0,Total,0,Total,5,Hispanic,2,New York City,2313399
2008,0,Total,0,Total,5,Hispanic,3,Bronx,719596
2008,0,Total,0,Total,5,Hispanic,4,Kings,504051
2008,0,Total,0,Total,5,Hispanic,5,New York,400698
2008,0,Total,0,Total,5,Hispanic,6,Queens,612873
2008,0,Total,0,Total,5,Hispanic,7,Richmond,76181
2008,0,Total,0,Total,5,Hispanic,8,Rest of State,936639
2008,0,Total,0,Total,5,Hispanic,9,Albany,11999
2008,0,Total,0,Total,5,Hispanic,10,Allegany,613
2008,0,Total,0,Total,5,Hispanic,11,Broome,5221
2008,0,Total,0,Total,5,Hispanic,12,Cattaraugus,995
2008,0,Total,0,Total,5,Hispanic,13,Cayuga,1847
2008,0,Total,0,Total,5,Hispanic,14,Chautauqua,6916
2008,0,Total,0,Total,5,Hispanic,15,Chemung,1938
2008,0,Total,0,Total,5,Hispanic,16,Chenango,782
2008,0,Total,0,Total,5,Hispanic,17,Clinton,2205
2008,0,Total,0,Total,5,Hispanic,18,Columbia,2059
2008,0,Total,0,Total,5,Hispanic,19,Cortland,821
2008,0,Total,0,Total,5,Hispanic,20,Delaware,1347
2008,0,Total,0,Total,5,Hispanic,21,Dutchess,26732
2008,0,Total,0,Total,5,Hispanic,22,Erie,35305
2008,0,Total,0,Total,5,Hispanic,23,Essex,884
2008,0,Total,0,Total,5,Hispanic,24,Franklin,2114
2008,0,Total,0,Total,5,Hispanic,25,Fulton,1286
2008,0,Total,0,Total,5,Hispanic,26,Genesee,1283
2008,0,Total,0,Total,5,Hispanic,27,Greene,2515
2008,0,Total,0,Total,5,Hispanic,28,Hamilton,68
2008,0,Total,0,Total,5,Hispanic,29,Herkimer,889
2008,0,Total,0,Total,5,Hispanic,30,Jefferson,5624
2008,0,Total,0,Total,5,Hispanic,31,Lewis,275
2008,0,Total,0,Total,5,Hispanic,32,Livingston,1640
2008,0,Total,0,Total,5,Hispanic,33,Madison,995
2008,0,Total,0,Total,5,Hispanic,34,Monroe,44129
2008,0,Total,0,Total,5,Hispanic,35,Montgomery,4526
