Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population White Non Hispanic
2006,0,Total,0,Total,1,White Non Hispanic,18,Columbia,56786
2006,0,Total,0,Total,1,White Non Hispanic,19,Cortland,46462
2006,0,Total,0,Total,1,White Non Hispanic,20,Delaware,44309
2006,0,Total,0,Total,1,White Non Hispanic,21,Dutchess,230508
2006,0,Total,0,Total,1,White Non Hispanic,22,Erie,739922
2006,0,Total,0,Total,1,White Non Hispanic,23,Essex,36224
2006,0,Total,0,Total,1,White Non Hispanic,24,Franklin,42234
2006,0,Total,0,Total,1,White Non Hispanic,25,Fulton,52572
2006,0,Total,0,Total,1,White Non Hispanic,26,Genesee,55163
2006,0,Total,0,Total,1,White Non Hispanic,27,Greene,43955
2006,0,Total,0,Total,1,White Non Hispanic,28,Hamilton,5030
2006,0,Total,0,Total,1,White Non Hispanic,29,Herkimer,61259
2006,0,Total,0,Total,1,White Non Hispanic,30,Jefferson,100831
2006,0,Total,0,Total,1,White Non Hispanic,31,Lewis,26056
2006,0,Total,0,Total,1,White Non Hispanic,32,Livingston,59675
2006,0,Total,0,Total,1,White Non Hispanic,33,Madison,67109
2006,0,Total,0,Total,1,White Non Hispanic,34,Monroe,559666
2006,0,Total,0,Total,1,White Non Hispanic,35,Montgomery,43607
2006,0,Total,0,Total,1,White Non Hispanic,36,Nassau,925551
2006,0,Total,0,Total,1,White Non Hispanic,37,Niagara,193541
2006,0,Total,0,Total,1,White Non Hispanic,38,Oneida,206829
2006,0,Total,0,Total,1,White Non Hispanic,39,Onondaga,379274
2006,0,Total,0,Total,1,White Non Hispanic,40,Ontario,97708
2006,0,Total,0,Total,1,White Non Hispanic,41,Orange,271151
2006,0,Total,0,Total,1,White Non Hispanic,42,Orleans,38139
2006,0,Total,0,Total,1,White Non Hispanic,43,Oswego,118768
2006,0,Total,0,Total,1,White Non Hispanic,44,Otsego,59038
2006,0,Total,0,Total,1,White Non Hispanic,45,Putnam,86152
2006,0,Total,0,Total,1,White Non Hispanic,46,Rensselaer,138173
2006,0,Total,0,Total,1,White Non Hispanic,47,Rockland,204504
2006,0,Total,0,Total,1,White Non Hispanic,48,St Lawrence,104353
2006,0,Total,0,Total,1,White Non Hispanic,49,Saratoga,203314
2006,0,Total,0,Total,1,White Non Hispanic,50,Schenectady,124847
2006,0,Total,0,Total,1,White Non Hispanic,51,Schoharie,30846
2006,0,Total,0,Total,1,White Non Hispanic,52,Schuyler,18653
2006,0,Total,0,Total,1,White Non Hispanic,53,Seneca,31624
2006,0,Total,0,Total,1,White Non Hispanic,54,Steuben,94040
2006,0,Total,0,Total,1,White Non Hispanic,55,Suffolk,1113934
2006,0,Total,0,Total,1,White Non Hispanic,56,Sullivan,59449
2006,0,Total,0,Total,1,White Non Hispanic,57,Tioga,49610
2006,0,Total,0,Total,1,White Non Hispanic,58,Tompkins,81699
2006,0,Total,0,Total,1,White Non Hispanic,59,Ulster,154816
2006,0,Total,0,Total,1,White Non Hispanic,60,Warren,63708
2006,0,Total,0,Total,1,White Non Hispanic,61,Washington,59495
2006,0,Total,0,Total,1,White Non Hispanic,62,Wayne,85961
2006,0,Total,0,Total,1,White Non Hispanic,63,Westchester,583683
2006,0,Total,0,Total,1,White Non Hispanic,64,Wyoming,38569
2006,0,Total,0,Total,1,White Non Hispanic,65,Yates,24081
2007,0,Total,0,Total,1,White Non Hispanic,1,New York State,11727093
2007,0,Total,0,Total,1,White Non Hispanic,2,New York City,2959706
2007,0,Total,0,Total,1,White Non Hispanic,3,Bronx,180077
2007,0,Total,0,Total,1,White Non Hispanic,4,Kings,931448
2007,0,Total,0,Total,1,White Non Hispanic,5,New York,804014
2007,0,Total,0,Total,1,White Non Hispanic,6,Queens,719330
2007,0,Total,0,Total,1,White Non Hispanic,7,Richmond,324837
2007,0,Total,0,Total,1,White Non Hispanic,8,Rest of State,8767387
2007,0,Total,0,Total,1,White Non Hispanic,9,Albany,238649
2007,0,Total,0,Total,1,White Non Hispanic,10,Allegany,47762
2007,0,Total,0,Total,1,White Non Hispanic,11,Broome,174664
2007,0,Total,0,Total,1,White Non Hispanic,12,Cattaraugus,75150
2007,0,Total,0,Total,1,White Non Hispanic,13,Cayuga,74219
2007,0,Total,0,Total,1,White Non Hispanic,14,Chautauqua,122725
2007,0,Total,0,Total,1,White Non Hispanic,15,Chemung,79084
2007,0,Total,0,Total,1,White Non Hispanic,16,Chenango,49442
2007,0,Total,0,Total,1,White Non Hispanic,17,Clinton,76071
2007,0,Total,0,Total,1,White Non Hispanic,18,Columbia,56096
2007,0,Total,0,Total,1,White Non Hispanic,19,Cortland,46266
2007,0,Total,0,Total,1,White Non Hispanic,20,Delaware,43626
2007,0,Total,0,Total,1,White Non Hispanic,21,Dutchess,226957
2007,0,Total,0,Total,1,White Non Hispanic,22,Erie,731901
2007,0,Total,0,Total,1,White Non Hispanic,23,Essex,35715
2007,0,Total,0,Total,1,White Non Hispanic,24,Franklin,41700
2007,0,Total,0,Total,1,White Non Hispanic,25,Fulton,52059
2007,0,Total,0,Total,1,White Non Hispanic,26,Genesee,54434
2007,0,Total,0,Total,1,White Non Hispanic,27,Greene,43275
2007,0,Total,0,Total,1,White Non Hispanic,28,Hamilton,4946
2007,0,Total,0,Total,1,White Non Hispanic,29,Herkimer,60415
2007,0,Total,0,Total,1,White Non Hispanic,30,Jefferson,103180
2007,0,Total,0,Total,1,White Non Hispanic,31,Lewis,25761
2007,0,Total,0,Total,1,White Non Hispanic,32,Livingston,58824
2007,0,Total,0,Total,1,White Non Hispanic,33,Madison,66667
2007,0,Total,0,Total,1,White Non Hispanic,34,Monroe,557981
2007,0,Total,0,Total,1,White Non Hispanic,35,Montgomery,43001
2007,0,Total,0,Total,1,White Non Hispanic,36,Nassau,906608
2007,0,Total,0,Total,1,White Non Hispanic,37,Niagara,192027
2007,0,Total,0,Total,1,White Non Hispanic,38,Oneida,204874
2007,0,Total,0,Total,1,White Non Hispanic,39,Onondaga,376697
2007,0,Total,0,Total,1,White Non Hispanic,40,Ontario,97141
2007,0,Total,0,Total,1,White Non Hispanic,41,Orange,269719
2007,0,Total,0,Total,1,White Non Hispanic,42,Orleans,37179
2007,0,Total,0,Total,1,White Non Hispanic,43,Oswego,117103
2007,0,Total,0,Total,1,White Non Hispanic,44,Otsego,58731
2007,0,Total,0,Total,1,White Non Hispanic,45,Putnam,84342
2007,0,Total,0,Total,1,White Non Hispanic,46,Rensselaer,137374
2007,0,Total,0,Total,1,White Non Hispanic,47,Rockland,204628
2007,0,Total,0,Total,1,White Non Hispanic,48,St Lawrence,103050
2007,0,Total,0,Total,1,White Non Hispanic,49,Saratoga,203404
2007,0,Total,0,Total,1,White Non Hispanic,50,Schenectady,124004
2007,0,Total,0,Total,1,White Non Hispanic,51,Schoharie,30567
2007,0,Total,0,Total,1,White Non Hispanic,52,Schuyler,18191
2007,0,Total,0,Total,1,White Non Hispanic,53,Seneca,31090
2007,0,Total,0,Total,1,White Non Hispanic,54,Steuben,92747
2007,0,Total,0,Total,1,White Non Hispanic,55,Suffolk,1096537
2007,0,Total,0,Total,1,White Non Hispanic,56,Sullivan,58992
2007,0,Total,0,Total,1,White Non Hispanic,57,Tioga,48671
2007,0,Total,0,Total,1,White Non Hispanic,58,Tompkins,82052
2007,0,Total,0,Total,1,White Non Hispanic,59,Ulster,153376
2007,0,Total,0,Total,1,White Non Hispanic,60,Warren,63683
2007,0,Total,0,Total,1,White Non Hispanic,61,Washington,58876
2007,0,Total,0,Total,1,White Non Hispanic,62,Wayne,84572
2007,0,Total,0,Total,1,White Non Hispanic,63,Westchester,578875
2007,0,Total,0,Total,1,White Non Hispanic,64,Wyoming,37884
2007,0,Total,0,Total,1,White Non Hispanic,65,Yates,23823
2008,0,Total,0,Total,1,White Non Hispanic,1,New York State,11799671
2008,0,Total,0,Total,1,White Non Hispanic,2,New York City,2993135
2008,0,Total,0,Total,1,White Non Hispanic,3,Bronx,179372
2008,0,Total,0,Total,1,White Non Hispanic,4,Kings,948962
2008,0,Total,0,Total,1,White Non Hispanic,5,New York,818302
2008,0,Total,0,Total,1,White Non Hispanic,6,Queens,720834
2008,0,Total,0,Total,1,White Non Hispanic,7,Richmond,325665
2008,0,Total,0,Total,1,White Non Hispanic,8,Rest of State,8806536
2008,0,Total,0,Total,1,White Non Hispanic,9,Albany,237202
2008,0,Total,0,Total,1,White Non Hispanic,10,Allegany,47776
2008,0,Total,0,Total,1,White Non Hispanic,11,Broome,173280
2008,0,Total,0,Total,1,White Non Hispanic,12,Cattaraugus,74434
2008,0,Total,0,Total,1,White Non Hispanic,13,Cayuga,73860
2008,0,Total,0,Total,1,White Non Hispanic,14,Chautauqua,121963
2008,0,Total,0,Total,1,White Non Hispanic,15,Chemung,78738
2008,0,Total,0,Total,1,White Non Hispanic,16,Chenango,49125
2008,0,Total,0,Total,1,White Non Hispanic,17,Clinton,75744
2008,0,Total,0,Total,1,White Non Hispanic,18,Columbia,55684
2008,0,Total,0,Total,1,White Non Hispanic,19,Cortland,46112
2008,0,Total,0,Total,1,White Non Hispanic,20,Delaware,43371
2008,0,Total,0,Total,1,White Non Hispanic,21,Dutchess,226149
2008,0,Total,0,Total,1,White Non Hispanic,22,Erie,727690
2008,0,Total,0,Total,1,White Non Hispanic,23,Essex,35469
2008,0,Total,0,Total,1,White Non Hispanic,24,Franklin,41554
2008,0,Total,0,Total,1,White Non Hispanic,25,Fulton,51909
2008,0,Total,0,Total,1,White Non Hispanic,26,Genesee,53992
2008,0,Total,0,Total,1,White Non Hispanic,27,Greene,42932
2008,0,Total,0,Total,1,White Non Hispanic,28,Hamilton,4887
2008,0,Total,0,Total,1,White Non Hispanic,29,Herkimer,59989
2008,0,Total,0,Total,1,White Non Hispanic,30,Jefferson,103149
2008,0,Total,0,Total,1,White Non Hispanic,31,Lewis,25504
2008,0,Total,0,Total,1,White Non Hispanic,32,Livingston,58658
2008,0,Total,0,Total,1,White Non Hispanic,33,Madison,66484
2008,0,Total,0,Total,1,White Non Hispanic,34,Monroe,559004
2008,0,Total,0,Total,1,White Non Hispanic,35,Montgomery,42808
2008,0,Total,0,Total,1,White Non Hispanic,36,Nassau,931186
2008,0,Total,0,Total,1,White Non Hispanic,37,Niagara,191286
2008,0,Total,0,Total,1,White Non Hispanic,38,Oneida,203503
2008,0,Total,0,Total,1,White Non Hispanic,39,Onondaga,374483
2008,0,Total,0,Total,1,White Non Hispanic,40,Ontario,97366
2008,0,Total,0,Total,1,White Non Hispanic,41,Orange,268688
2008,0,Total,0,Total,1,White Non Hispanic,42,Orleans,36874
2008,0,Total,0,Total,1,White Non Hispanic,43,Oswego,116746
2008,0,Total,0,Total,1,White Non Hispanic,44,Otsego,58260
2008,0,Total,0,Total,1,White Non Hispanic,45,Putnam,83705
2008,0,Total,0,Total,1,White Non Hispanic,46,Rensselaer,137069
2008,0,Total,0,Total,1,White Non Hispanic,47,Rockland,205281
2008,0,Total,0,Total,1,White Non Hispanic,48,St Lawrence,102730
2008,0,Total,0,Total,1,White Non Hispanic,49,Saratoga,204144
2008,0,Total,0,Total,1,White Non Hispanic,50,Schenectady,123621
2008,0,Total,0,Total,1,White Non Hispanic,51,Schoharie,30392
2008,0,Total,0,Total,1,White Non Hispanic,52,Schuyler,18020
2008,0,Total,0,Total,1,White Non Hispanic,53,Seneca,30893
2008,0,Total,0,Total,1,White Non Hispanic,54,Steuben,92343
2008,0,Total,0,Total,1,White Non Hispanic,55,Suffolk,1135340
2008,0,Total,0,Total,1,White Non Hispanic,56,Sullivan,58776
2008,0,Total,0,Total,1,White Non Hispanic,57,Tioga,48391
2008,0,Total,0,Total,1,White Non Hispanic,58,Tompkins,82191
2008,0,Total,0,Total,1,White Non Hispanic,59,Ulster,152721
2008,0,Total,0,Total,1,White Non Hispanic,60,Warren,63440
2008,0,Total,0,Total,1,White Non Hispanic,61,Washington,58840
2008,0,Total,0,Total,1,White Non Hispanic,62,Wayne,84561
2008,0,Total,0,Total,1,White Non Hispanic,63,Westchester,576689
2008,0,Total,0,Total,1,White Non Hispanic,64,Wyoming,37628
2008,0,Total,0,Total,1,White Non Hispanic,65,Yates,23902
2009,0,Total,0,Total,1,White Non Hispanic,1,New York State,11813166
2009,0,Total,0,Total,1,White Non Hispanic,2,New York City,3018880
2009,0,Total,0,Total,1,White Non Hispanic,3,Bronx,174794
2009,0,Total,0,Total,1,White Non Hispanic,4,Kings,959454
2009,0,Total,0,Total,1,White Non Hispanic,5,New York,838577
2009,0,Total,0,Total,1,White Non Hispanic,6,Queens,719226
2009,0,Total,0,Total,1,White Non Hispanic,7,Richmond,326829
2009,0,Total,0,Total,1,White Non Hispanic,8,Rest of State,8794286
2009,0,Total,0,Total,1,White Non Hispanic,9,Albany,235945
2009,0,Total,0,Total,1,White Non Hispanic,10,Allegany,47125
2009,0,Total,0,Total,1,White Non Hispanic,11,Broome,172809
2009,0,Total,0,Total,1,White Non Hispanic,12,Cattaraugus,74328
2009,0,Total,0,Total,1,White Non Hispanic,13,Cayuga,73468
