Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Female
2007,0,Total,2,Female,0,Total,39,Onondaga,235551
2007,0,Total,2,Female,0,Total,40,Ontario,52910
2007,0,Total,2,Female,0,Total,41,Orange,187654
2007,0,Total,2,Female,0,Total,42,Orleans,21353
2007,0,Total,2,Female,0,Total,43,Oswego,61318
2007,0,Total,2,Female,0,Total,44,Otsego,32439
2007,0,Total,2,Female,0,Total,45,Putnam,49428
2007,0,Total,2,Female,0,Total,46,Rensselaer,78710
2007,0,Total,2,Female,0,Total,47,Rockland,150500
2007,0,Total,2,Female,0,Total,48,St Lawrence,54173
2007,0,Total,2,Female,0,Total,49,Saratoga,109043
2007,0,Total,2,Female,0,Total,50,Schenectady,77592
2007,0,Total,2,Female,0,Total,51,Schoharie,16147
2007,0,Total,2,Female,0,Total,52,Schuyler,9505
2007,0,Total,2,Female,0,Total,53,Seneca,16461
2007,0,Total,2,Female,0,Total,54,Steuben,49380
2007,0,Total,2,Female,0,Total,55,Suffolk,736403
2007,0,Total,2,Female,0,Total,56,Sullivan,37612
2007,0,Total,2,Female,0,Total,57,Tioga,25490
2007,0,Total,2,Female,0,Total,58,Tompkins,50443
2007,0,Total,2,Female,0,Total,59,Ulster,91116
2007,0,Total,2,Female,0,Total,60,Warren,33833
2007,0,Total,2,Female,0,Total,61,Washington,30452
2007,0,Total,2,Female,0,Total,62,Wayne,46206
2007,0,Total,2,Female,0,Total,63,Westchester,492342
2007,0,Total,2,Female,0,Total,64,Wyoming,19081
2007,0,Total,2,Female,0,Total,65,Yates,12585
2008,0,Total,2,Female,0,Total,1,New York State,10028234
2008,0,Total,2,Female,0,Total,2,New York City,4368501
2008,0,Total,2,Female,0,Total,3,Bronx,739870
2008,0,Total,2,Female,0,Total,4,Kings,1348142
2008,0,Total,2,Female,0,Total,5,New York,852505
2008,0,Total,2,Female,0,Total,6,Queens,1177994
2008,0,Total,2,Female,0,Total,7,Richmond,249990
2008,0,Total,2,Female,0,Total,8,Rest of State,5659733
2008,0,Total,2,Female,0,Total,9,Albany,154553
2008,0,Total,2,Female,0,Total,10,Allegany,24695
2008,0,Total,2,Female,0,Total,11,Broome,100508
2008,0,Total,2,Female,0,Total,12,Cattaraugus,40551
2008,0,Total,2,Female,0,Total,13,Cayuga,39432
2008,0,Total,2,Female,0,Total,14,Chautauqua,68006
2008,0,Total,2,Female,0,Total,15,Chemung,44160
2008,0,Total,2,Female,0,Total,16,Chenango,25777
2008,0,Total,2,Female,0,Total,17,Clinton,40113
2008,0,Total,2,Female,0,Total,18,Columbia,31055
2008,0,Total,2,Female,0,Total,19,Cortland,25035
2008,0,Total,2,Female,0,Total,20,Delaware,23416
2008,0,Total,2,Female,0,Total,21,Dutchess,146037
2008,0,Total,2,Female,0,Total,22,Erie,471480
2008,0,Total,2,Female,0,Total,23,Essex,18199
2008,0,Total,2,Female,0,Total,24,Franklin,22773
2008,0,Total,2,Female,0,Total,25,Fulton,27894
