Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Other Non Hispanic
2006,0,Total,0,Total,3,Other Non Hispanic,9,Albany,13090
2006,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,718
2006,0,Total,0,Total,3,Other Non Hispanic,11,Broome,7310
2006,0,Total,0,Total,3,Other Non Hispanic,12,Cattaraugus,2899
2006,0,Total,0,Total,3,Other Non Hispanic,13,Cayuga,778
2006,0,Total,0,Total,3,Other Non Hispanic,14,Chautauqua,1460
2006,0,Total,0,Total,3,Other Non Hispanic,15,Chemung,1282
2006,0,Total,0,Total,3,Other Non Hispanic,16,Chenango,399
2006,0,Total,0,Total,3,Other Non Hispanic,17,Clinton,1072
2006,0,Total,0,Total,3,Other Non Hispanic,18,Columbia,1086
2006,0,Total,0,Total,3,Other Non Hispanic,19,Cortland,520
2006,0,Total,0,Total,3,Other Non Hispanic,20,Delaware,545
2006,0,Total,0,Total,3,Other Non Hispanic,21,Dutchess,10798
2006,0,Total,0,Total,3,Other Non Hispanic,22,Erie,24120
2006,0,Total,0,Total,3,Other Non Hispanic,23,Essex,450
2006,0,Total,0,Total,3,Other Non Hispanic,24,Franklin,3471
2006,0,Total,0,Total,3,Other Non Hispanic,25,Fulton,614
2006,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,949
2006,0,Total,0,Total,3,Other Non Hispanic,27,Greene,557
2006,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,29
2006,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,606
2006,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,2245
2006,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,182
2006,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,947
2006,0,Total,0,Total,3,Other Non Hispanic,33,Madison,1037
2006,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,24299
2006,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,523
2006,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,95395
2006,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,4409
2006,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,4228
2006,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,16662
2006,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1423
2006,0,Total,0,Total,3,Other Non Hispanic,41,Orange,10404
2006,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,420
2006,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1372
2006,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,850
2006,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,2291
2006,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,4083
2006,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,20177
2006,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,2312
2006,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,4417
2006,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,6403
2006,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,259
2006,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,166
2006,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,450
2006,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1503
2006,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,55798
2006,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1448
2006,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,544
2006,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,10842
2006,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3809
